no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,mailing_option,meetup_option,meetup_location,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,brands,current_listing_price,len_posts,post_word_count,num_emojis,lemma_posts,topic,probability,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,price
14,3,Giant OCR,500,Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,N,Y,Bendemeer Light,jktay,Joined 8 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,7,Giant,500.0,62,11,0,giant ocr m size claris shifters fd rd mavic cosmic wheelset,1,0.616006922959413,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,Low
9,7,Polygon Hybrid Bicycle,500,Lightly used,Mailing,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",Y,N,,starfish100,Joined 7 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,227,look,500.0,487,87,0,polygon hybrid bicycle lightly bike balcony clean shady area rode 15 time buy 1200 accessory cost 50 plus extra sell low cost space balcony air wheel need pump brake fluid recently bleed come additional pouch show picture   price include bicycle stand bicycle stand purchase buyer   welcome look place sengkang 797460,-1,0.1561667523715277,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Low
1,7,WTS/WTT Scott Speedster 20 (Size 56),"2,000",Like new,Meetup,2 days ago,Road Bikes,Posted,Used once or twice. As good as new.,N,Y,Cashew MRT Station (DT2),rizeal,Joined 1 year ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,10,Scott,2000.0,1237,186,0,"wts wtt scott speedster 20 size 56 buy kh cycle prefer mountain bike ride   look sell trade suspension mountain bike   size 56 178 cm large frame speedster disc 6061 d.butted alloy endurance geometry int cable route syncros fender kit ready fork speedster hmf disc 1 1/4”-1 1/2 "" eccentric carbon steerer rear derailleur shimano tiagra rd-4700 gs 20 speed derailleur shimano tiagra fd-4700 shifter shimano tiagra st-4700 dual control 20 speed crankset fsa ck-4003st wt(s10 50 34 bb set shimano bb rs500 pb chain kmc x10 cassette shimano cs hg500 10 speed 11 32 t brake shimano br rs305 black mech disc rotor shimano sm rt64 rotor 160 f 160 r handlebar syncros creston 2.0 compact 31.8 mm h’stem syncros rr2.5 1 1/4 "" bolt 31.8 mm seatpost syncros rr2.5 27.2/350 mm seat syncros tofino regular 2.5 headset acros aif-1113 hub formula team ii cl disc 28 h hub rear formula team ii cl disc 28 h spokes black 2 mm rims syncros race 24 disc 28 28 rear tire schwalbe lugano 700x32c rear tire schwalbe lugano 700x32c approx weights kg 10.40",-1,0.1516969528113731,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,High
3,1,Giant TC ADVANCE 3 DISC,"1,600",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Prestige heights,zhaoyichen82949,Joined 1 month ago,Not Responsive,Verified,1.0,0.0,1.0,0.0,0,Giant,1600.0,71,7,0,giant tc advance 3 disc 年初购入，因为要回，忍痛转让 尺寸m，附赠打气筒，前后灯，giant头盔，水杯架，手机支架,1,0.40305561072668356,giant,tcr,shimano,advanced,size,pro,disc,carbon,wheelset,advance,High
34,1,Canyon Endurace 2021 CF SL 7 R7000 Carbon Wheelset Full Road Bike,"1,800",Lightly used,Meetup,3 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Medicus Clinic Jurong West St 42,cl24zy,Joined 3 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,19,"Canyon, CANYON, Canyon, Canyon",1800.0,494,77,0,canyon endurace 2021 cf sl 7 r7000 carbon wheelset road bike canyon endurace cf sl 7 2021 r7000 carbon wheels bike •canyon endurace cf sl 7 2021 carbon frameset uci approved •shimano r7000 105 groupset 11speed ltwoo ceramic carbon ospw •carbon wheelset continental gp5000 tyres •canyon cockpit new ciclovation bartape like new condition zero issue light fast sexy black stealth build contact @83315987 interest~,4,1.0,canyon,cf,bike,ultimate,endurace,aeroad,size,sl,shimano,new,High
79,10,Handmade Swiss Vintage Steel Road Bike,"1,000 1,199",Lightly used,Meetup,2 weeks ago,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Playground Poh Huat Road,samchongsoonlian,Joined 5 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,93,Look,1000.0,757,124,0,handmade swiss vintage steel road bike final chance bring beautiful handmade bike home unique vintage steel road bike handmade swiss beautiful purple blue color frame flawless chrome fork visible rust build 1978 hang showroom wall seldom ride 1983 regularly service service early 2022 tiptop condition smooth collector bike groupset shimano 600 sis quality component include mavic rim stainless steel spoke zaffiro tire look paddle selle italia saddle mavic stem handlebar race pouch etc weigh 10 kg size 54 cm welcome come bike quality listing,-1,0.13927030973662458,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
11,5,Merida Scultura 5000 2022 - Size S - Green - FRAMESET ONLY,"2,000",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Esso Upper East Coast Road,ernetlo,Joined 7 years ago,Mostly Responsive,Verified,1.0,1.0,1.0,5.0,29,Merida,2000.0,603,99,0,merida scultura 5000 2022 size s green frameset bike year 2022 cf3 version buy hup leong 2022 include frame fork spacers fsa smr acr stem spacers headset stem fsa smr acr alum 100 mm handlebar shimano pro vibe carbon aero 400 mm bartape supacaz seatpost bb shimano pressfit dura ace pf91 weigh 7.8 kg   pair ultegra di2 12spd shimano dura ace c50 wheelset clincher tpu tube crash lovingly wipe ride sell kana poison deep perfect entry road bike 178 cm 80 kg inseam 82 cm,2,1.0,merida,reacto,carbon,bike,shimano,ultegra,scultura,size,frame,road,High
24,5,Trek dual sport 2 2022 city bike hybrid gravel medium,788,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,Playground @ Blk 77 Lorong Limau,nad321,Joined 7 years ago,Very Responsive,Verified,1.0,1.0,1.0,5.0,56,"Trek, Trek, Trek, Trek",788.0,251,43,0,trek dual sport 2 2022 city bike hybrid gravel medium price negotiable fast deal check bike offer price fork got lock fast riding 9/10 condition   get scratch    willing trade trek marlin   trek roscoe trek xcaliber,3,0.42743383336696816,trek,madone,bontrager,oclv,bike,slr,size,aeolus,emonda,carbon,Med
7,10,"Customize with carbon frame made in Taiwan , similar to Cannondale. Fitted with carbon fork, 700x28 Mavic wheelset, Shimano 1x10 Zee derailleur and Deore shifter. Tektro Disc brake. Lightweigh only 8kg+, same day delivery FOC",900,Lightly used,Mailing,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",Y,N,,sr2000,Joined 2 years ago,Very Responsive,Verified,1.0,0.0,1.0,5.0,38,"Cannondale, Cannondale",900.0,1187,194,0,"customize carbon frame taiwan similar cannondale fit carbon fork 700x28 mavic wheelset shimano 1x10 zee derailleur deore shifter tektro disc brake lightweigh 8kg+ day delivery foc custom built road bike oem taiwan carbon frame 19 similar cannondale fsi give free purchase bike 1,200 give foc day delivery house   light weight bike 8kg+   smooth ride repair need brake gear shift perfect rust total parts+ installation cost 2,000 like new 9.5/10 ask 1,200 1 original shimano zee 10spd derailleur shimano deore shifter 10spd cassette cable cost 350 2 original 700x28c mavic cross ride disc 28 mm vittoria rubino pro tyre inner tube cost 400 3 original fsa headset litepro handlebar   grip uno seatpost saddle seat clamp bottle cage cost 150 4 original racework crankset dekas 44 t shimano bracket kmc 10spd   chain   pedal cost 190 5 original tektro bengal disc brake set cable cost 180 6 aftermarket oem carbon fork carbon frame cost 580 give free 7 installation fee cost 150",-1,0.13109482736703892,bike,size,carbon,shimano,frame,mm,road,new,cm,ultegra,Med
1,4,Specialized roubaix,"1,200",Lightly used,Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",N,Y,417A Fernvale Link,veeravaran,Joined 8 years ago,Very Responsive,Verified,0.0,1.0,1.0,5.0,11,"Specialized, specialized",1200.0,146,23,0,specialized roubaix specialized roubaix old model gd condition part dura ace accessory include price right thank,0,0.40813436166460143,specialized,bike,mm,carbon,tarmac,shimano,size,saddle,sram,ultegra,Med
